userId,movieId,rating,title,genres,tag,genome_score
5561,4,3,Waiting to Exhale ,comedy,chick flick,0.0785
5606,4,3.5,Waiting to Exhale ,comedy,revenge,0.01725
5640,4,5,Waiting to Exhale ,comedy,characters,0.101
5658,4,2,Waiting to Exhale ,comedy,chick flick,0.61
5676,4,0.5,Waiting to Exhale ,comedy,characters,0.0195
5814,4,3,Waiting to Exhale ,comedy,CLV,0.0165
5831,4,3,Waiting to Exhale ,comedy,chick flick,0.02225
5837,4,3,Waiting to Exhale ,comedy,revenge,0.0145
5838,4,2,Waiting to Exhale ,comedy,characters,0.0315
5849,4,3,Waiting to Exhale ,comedy,chick flick,0.0405
5881,4,5,Waiting to Exhale ,comedy,characters,0.01675
5882,4,2,Waiting to Exhale ,comedy,CLV,0.02525
5897,4,4,Waiting to Exhale ,comedy,chick flick,0.0375
6024,4,4,Waiting to Exhale ,comedy,revenge,0.03875
6136,4,4,Waiting to Exhale ,comedy,characters,0.00475
6166,4,2,Waiting to Exhale ,comedy,chick flick,0.03225
6276,4,1,Waiting to Exhale ,comedy,characters,0.01175
6318,4,4,Waiting to Exhale ,comedy,CLV,0.116
6326,4,4,Waiting to Exhale ,comedy,chick flick,0.02075
6337,4,3,Waiting to Exhale ,comedy,revenge,0.68875
6341,4,3,Waiting to Exhale ,comedy,characters,0.27725
6366,4,1,Waiting to Exhale ,comedy,chick flick,0.31775
6460,4,3,Waiting to Exhale ,comedy,characters,0.009
6497,4,3,Waiting to Exhale ,comedy,CLV,0.031
6551,4,4,Waiting to Exhale ,comedy,chick flick,0.0455
6559,4,3,Waiting to Exhale ,comedy,revenge,0.11375
6593,4,2,Waiting to Exhale ,comedy,characters,0.0895
6739,4,1,Waiting to Exhale ,comedy,chick flick,0.012
6792,4,1,Waiting to Exhale ,comedy,characters,0.02475
6824,4,4,Waiting to Exhale ,comedy,CLV,0.14225
6834,4,4,Waiting to Exhale ,comedy,chick flick,0.01225
6952,4,3,Waiting to Exhale ,comedy,revenge,0.0185
6964,4,1,Waiting to Exhale ,comedy,characters,0.09675
7056,4,1,Waiting to Exhale ,comedy,chick flick,0.04675
7101,4,3.5,Waiting to Exhale ,comedy,characters,0.026
427,5,2,Father of the Bride Part II ,comedy,Diane Keaton,0.0045
430,5,3,Father of the Bride Part II ,comedy,family,0.1585
435,5,3,Father of the Bride Part II ,comedy,sequel,0.10475
453,5,5,Father of the Bride Part II ,comedy,Steve Martin,0.06525
457,5,1,Father of the Bride Part II ,comedy,wedding,0.14575
465,5,5,Father of the Bride Part II ,comedy,sequel fever,0.06675
471,5,3,Father of the Bride Part II ,comedy,Fantasy,0.031
479,5,3,Father of the Bride Part II ,comedy,childhood classics,0.022
483,5,4,Father of the Bride Part II ,comedy,it thought it was funny but it wasn't,0.034
491,5,3,Father of the Bride Part II ,comedy,watched under duress,0.02625
506,5,3,Father of the Bride Part II ,comedy,worst movies ever,0.065
509,5,5,Father of the Bride Part II ,comedy,steve martin,0.1035
524,5,4,Father of the Bride Part II ,comedy,steve martin,0.233
545,5,3,Father of the Bride Part II ,comedy,Comedy,0.1475
547,5,3,Father of the Bride Part II ,comedy,Touching,0.0545
572,5,3.5,Father of the Bride Part II ,comedy,pregnancy,0.0095
578,5,5,Father of the Bride Part II ,comedy,remake,0.404
579,5,2,Father of the Bride Part II ,comedy,steve martin,0.01675
581,5,3,Father of the Bride Part II ,comedy,CLV,0.0265
586,5,3,Father of the Bride Part II ,comedy,Diane Keaton,0.0235
591,5,5,Father of the Bride Part II ,comedy,family,0.0095
593,5,4,Father of the Bride Part II ,comedy,sequel,0.00425
601,5,5,Father of the Bride Part II ,comedy,Steve Martin,0.01225
612,5,3,Father of the Bride Part II ,comedy,wedding,0.07075
619,5,3.5,Father of the Bride Part II ,comedy,sequel fever,0.12225
624,5,3,Father of the Bride Part II ,comedy,Fantasy,0.10575
627,5,4,Father of the Bride Part II ,comedy,childhood classics,0.051
640,5,3,Father of the Bride Part II ,comedy,it thought it was funny but it wasn't,0.07875
669,5,3,Father of the Bride Part II ,comedy,watched under duress,0.011
679,5,3,Father of the Bride Part II ,comedy,worst movies ever,0.13475
686,5,2,Father of the Bride Part II ,comedy,steve martin,0.0085
694,5,2.5,Father of the Bride Part II ,comedy,steve martin,0.09875
697,5,3.5,Father of the Bride Part II ,comedy,Comedy,0.112
699,5,2,Father of the Bride Part II ,comedy,Touching,0.0255
725,5,3,Father of the Bride Part II ,comedy,pregnancy,0.02225
424,6,5,Heat,Action,Natalie Portman,0.01125
427,6,5,Heat,Action,Robert De Niro,0.02025
435,6,4,Heat,Action,Val Kilmer,0.04975
461,6,4,Heat,Action,ending lame,0.25475
465,6,4,Heat,Action,Al Pacino,0.665
471,6,4,Heat,Action,bank robbery,0.0925
488,6,4,Heat,Action,crime,0.31525
1869,7,3,sabrina,Action,Harrison Ford,0.04425
1876,7,2,sabrina,Action,Paris,0.02975
1880,7,3,sabrina,Action,remake,0.0195
1891,7,4,sabrina,Action,ugly duckling,0.02375
1894,7,5,sabrina,Action,chick flick,0.01825
1904,7,3,sabrina,Action,remake,0.0235
1918,7,1,sabrina,Action,Drama,0.23525
1931,7,4,sabrina,Action,finding yourself,0.12825
1951,7,3.5,sabrina,Action,great cast,0.028
1955,7,3,sabrina,Action,Greg Kinnear,0.0775
1966,7,4,sabrina,Action,Julia Ormond,0.06875
1974,7,3,sabrina,Action,love story,0.2615
1983,7,3,sabrina,Action,remake,0.04175
2013,7,1,sabrina,Action,romance,0.13275
2043,7,4,sabrina,Action,Romance,0.10875
2058,7,3,sabrina,Action,chick flick,0.065
2071,7,2.5,sabrina,Action,remake,0.0095
2100,7,3,sabrina,Action,remake,0.0245
2119,7,3,sabrina,Action,NO_FA_GANES,0.02625
2127,7,3,sabrina,Action,based on a play,0.089
2147,8,3,Tom and Huck,Romance,chick flick,0.01025
2162,8,5,Tom and Huck,Romance,Harrison Ford,0.02125
2281,8,1,Tom and Huck,Romance,Julia Ormond,0.719
2493,8,3,Tom and Huck,Romance,Nancy Marchand,0.38575
2583,8,4,Tom and Huck,Romance,remake,0.1955
2657,8,3,Tom and Huck,Romance,based on a play,0.31175
2682,8,5,Tom and Huck,Romance,seen,0.063
2857,8,4,Tom and Huck,Romance,Peter Hewitt,0.16725
2862,8,3,Tom and Huck,Romance,based on a book,0.0475
2864,8,3,Tom and Huck,Romance,Mark Twain,0.05925
3202,8,3,Tom and Huck,Romance,seen,0.2315
3210,8,3.5,Tom and Huck,Romance,Peter Hewitt,0.0895
3227,8,4,Tom and Huck,Romance,based on a book,0.4375
3236,8,2,Tom and Huck,Romance,Mark Twain,0.073
3259,8,4,Tom and Huck,Romance,seen,0.0265
3397,8,0.5,Tom and Huck,Romance,Peter Hewitt,0.06325
3515,8,3,Tom and Huck,Romance,based on a book,0.03925
3532,8,1,Tom and Huck,Romance,Mark Twain,0.046
3664,8,3.5,Tom and Huck,Romance,seen,0.08425
3677,8,3,Tom and Huck,Romance,Peter Hewitt,0.3555
3680,8,5,Tom and Huck,Romance,based on a book,0.048
3692,8,4,Tom and Huck,Romance,Mark Twain,0.38025
3746,8,3,Tom and Huck,Romance,seen,0.0415
3872,8,4,Tom and Huck,Romance,Peter Hewitt,0.17575
3912,8,3,Tom and Huck,Romance,based on a book,0.006
4072,8,3,Tom and Huck,Romance,Mark Twain,0.3185
4217,8,2.5,Tom and Huck,Romance,seen,0.0715
4243,8,4,Tom and Huck,Romance,Peter Hewitt,0.14175
4428,8,3,Tom and Huck,Romance,based on a book,0.09225
4432,8,5,Tom and Huck,Romance,Mark Twain,0.02825
4457,8,5,Tom and Huck,Romance,seen,0.03775
4480,8,5,Tom and Huck,Romance,Peter Hewitt,0.15925
4494,8,4,Tom and Huck,Romance,based on a book,0.02475
4540,8,4,Tom and Huck,Romance,Mark Twain,0.028
4606,8,3,Tom and Huck,Romance,seen,0.147
4804,8,4,Tom and Huck,Romance,Peter Hewitt,0.12125
4937,8,4,Tom and Huck,Romance,based on a book,0.47075
4951,8,3,Tom and Huck,Romance,Mark Twain,0.561
4976,8,3,Tom and Huck,Romance,seen,0.06225
4991,8,4,Tom and Huck,Romance,Peter Hewitt,0.055
5281,8,3,Tom and Huck,Romance,based on a book,0.07525
5289,8,3,Tom and Huck,Romance,Mark Twain,0.01425
5591,8,5,Tom and Huck,Romance,seen,0.041
5742,8,3,Tom and Huck,Romance,Peter Hewitt,0.05725
5814,8,3,Tom and Huck,Romance,based on a book,0.01275
5881,8,3,Tom and Huck,Romance,Mark Twain,0.00975
6059,8,4,Tom and Huck,Romance,seen,0.02075
6241,8,4,Tom and Huck,Romance,Peter Hewitt,0.22175
6462,8,4,Tom and Huck,Romance,based on a book,0.157
6606,8,2.5,Tom and Huck,Romance,Mark Twain,0.0525
6719,8,1,Tom and Huck,Romance,seen,0.04625
6744,8,5,Tom and Huck,Romance,Peter Hewitt,0.177
6878,8,5,Tom and Huck,Romance,based on a book,0.06175
6983,8,3,Tom and Huck,Romance,Mark Twain,0.3135
29,9,4,Sudden Death,Action,action,0.03775
69,9,3,Sudden Death,Action,jean-claude van damme,0.02075
116,9,1.5,Sudden Death,Action,Peter Hyams,0.09425
127,9,5,Sudden Death,Action,Jean-Claude Van Damme,0.2775
130,9,3,Sudden Death,Action,Can't remember,0.04325
156,9,3,Sudden Death,Action,Jean-Claude Van Damme,0.05825
236,9,4,Sudden Death,Action,Jean-Claude Van Damme,0.04525
242,9,3,Sudden Death,Action,Peter Hyams,0.21375
303,9,4,Sudden Death,Action,CLV,0.0375
330,9,3,Sudden Death,Action,,0.03675
334,9,4,Sudden Death,Action,,0.02675
516,9,1,Sudden Death,Action,,0.0145
536,9,3,Sudden Death,Action,,0.12025
547,9,3,Sudden Death,Action,,0.50525
554,9,3,Sudden Death,Action,,0.01925
571,9,3,Sudden Death,Action,,0.08925
579,9,1,Sudden Death,Action,,0.00975
686,9,4,Sudden Death,Action,,0.046
768,9,3,Sudden Death,Action,,0.02225
781,9,1,Sudden Death,Action,,0.09075
814,9,3,Sudden Death,Action,,0.07725
816,9,4,Sudden Death,Action,,0.01825
818,9,3,Sudden Death,Action,,0.089
242,10,4,GoldenEye,Action,assassin,0.0365
247,10,3,GoldenEye,Action,killer as protagonist,0.046
249,10,3,GoldenEye,Action,murder,0.03075
256,10,4,GoldenEye,Action,7,0.01425
259,10,2,GoldenEye,Action,Bond,0.06575
261,10,3,GoldenEye,Action,james bond,0.04625
271,10,3.5,GoldenEye,Action,7,0.157
274,10,3,GoldenEye,Action,tank chase scene,0.12025
275,10,4,GoldenEye,Action,7,0.2285
278,10,2.5,GoldenEye,Action,Bond,0.00575
283,10,3,GoldenEye,Action,espionage,0.056
286,10,3,GoldenEye,Action,good dialogue,0.132
287,10,4,GoldenEye,Action,espionage,0.186
292,10,3,GoldenEye,Action,James Bond,0.12075
294,10,3.5,GoldenEye,Action,bond,0.04875
298,10,4,GoldenEye,Action,Bob*ola,0.129
311,10,3,GoldenEye,Action,MTSKAF,0.058
312,10,4,GoldenEye,Action,Pierce Brosnan,0.12875
316,10,2.5,GoldenEye,Action,James Bond,0.0395
327,10,3,GoldenEye,Action,seen more than once,0.11175
329,10,4,GoldenEye,Action,James Bond,0.0935
330,10,3,GoldenEye,Action,Pierce Brosnan,0.01175
334,10,2,GoldenEye,Action,James Bond,0.162
347,10,2,GoldenEye,Action,action,0.0795
359,10,4,GoldenEye,Action,adventure,0.0785
367,10,3.5,GoldenEye,Action,James Bond,0.15575
368,10,3,GoldenEye,Action,espionage,0.033
374,10,5,GoldenEye,Action,Bond,0.3245
378,10,4,GoldenEye,Action,Bond,0.15575
381,10,4,GoldenEye,Action,Bond,0.10125
388,10,2,GoldenEye,Action,seen more than once,0.03175
390,10,5,GoldenEye,Action,it's a good movie but the end of 007 is always the same,0.02875
393,10,4,GoldenEye,Action,Sean Bean dies,0.0785
394,10,3,GoldenEye,Action,7,0.15625
401,10,5,GoldenEye,Action,James Bond,0.068
402,10,3,GoldenEye,Action,Pierce Brosnan,0.05675
414,10,2,GoldenEye,Action,7,0.00875
421,10,3,GoldenEye,Action,007 (series),0.07875
422,10,3,GoldenEye,Action,action,0.0445
424,10,4.5,GoldenEye,Action,espionage,0.07425
427,10,2,GoldenEye,Action,gadgets,0.01275
430,10,3,GoldenEye,Action,James Bond,0.10575
435,10,3,GoldenEye,Action,Judi Dench,0.0105
436,10,4.5,GoldenEye,Action,Pierce Brosnan,0.058
444,10,3,GoldenEye,Action,secret service,0.068
413,11,2.5,American President,comedy,spies,0.02275
414,11,4,American President,comedy,violence,0.1925
416,11,5,American President,comedy,7,0.16625
417,11,3,American President,comedy,james bond,0.088
421,11,4.5,American President,comedy,Caribbean,0.012
424,11,3.5,American President,comedy,espionage,0.5105
427,11,2,American President,comedy,franchise,0.018
435,11,4,American President,comedy,James Bond,0.03675
445,11,3,American President,comedy,Latin America,0.15325
452,11,4,American President,comedy,Puerto Rico,0.042
453,11,4,American President,comedy,,0.0835
461,11,4,American President,comedy,action,0.0085
463,11,4,American President,comedy,James Bond,0.1805
465,11,5,American President,comedy,Pierce Brosnan,0.06575
472,11,5,American President,comedy,,0.01925
475,11,3,American President,comedy,,0.053
476,11,4,American President,comedy,White House,0.10725
479,11,2,American President,comedy,girlie movie,0.04225
486,11,4.5,American President,comedy,clever dialogue,0.143
491,11,4,American President,comedy,politics,0.6125
509,11,5,American President,comedy,Amazing kung fu,0.685
515,11,3,American President,comedy,decent flick,0.10075
517,11,4,American President,comedy,Annette Bening,0.021
546,11,3.5,American President,comedy,ethics,0.1785
556,11,3,American President,comedy,great cast,0.292
562,11,4.5,American President,comedy,great performances,0.21975
572,11,3.5,American President,comedy,great story,0.1775
586,11,2.5,American President,comedy,Michael Douglas,0.27175
3971,12,2.5,Dracula,comedy,morals,0.357
4044,12,5,Dracula,comedy,Drama,0.05325
4047,12,2,Dracula,comedy,Romance,0.02525
4066,12,1.5,Dracula,comedy,cute,0.058
4107,12,5,Dracula,comedy,seen more than once,0.031
4192,12,2,Dracula,comedy,,0.22575
4228,12,3,Dracula,comedy,screenwriter:Aaron Sorkin,0.08575
4275,12,3,Dracula,comedy,NO_FA_GANES,0.30075
4285,12,2,Dracula,comedy,Rob Reiner,0.09975
4316,12,4,Dracula,comedy,Aaron Sorkin,0.106
4332,12,2.5,Dracula,comedy,clever dialogue,0.39875
4358,12,1,Dracula,comedy,cute,0.0765
4501,12,2,Dracula,comedy,girlie movie,0.064
4548,12,2,Dracula,comedy,great performances,0.0265
4585,12,2,Dracula,comedy,Martin Sheen,0.16975
4605,12,4,Dracula,comedy,Michael Douglas,0.014
4615,12,2.5,Dracula,comedy,politics,0.0155
4630,12,5,Dracula,comedy,Rob Reiner,0.0465
4642,12,3,Dracula,comedy,Romance,0.05
4645,12,0.5,Dracula,comedy,,0.0245
4696,12,2,Dracula,comedy,,0.1085
4776,12,3,Dracula,comedy,,0.13
4781,12,3.5,Dracula,comedy,,0.01275
4823,12,1,Dracula,comedy,,0.25325
4879,12,2.5,Dracula,comedy,,0.021
4893,12,4,Dracula,comedy,,0.04025
4937,12,0.5,Dracula,comedy,,0.01075
4959,12,4,Dracula,comedy,,0.011
5046,12,2,Dracula,comedy,,0.024
5091,12,3,Dracula,comedy,,0.32175
5155,12,3.5,Dracula,comedy,,0.4545
3253,13,4,Balto,comedy,,0.1715
3318,13,3,Balto,comedy,,0.1325
3508,13,2.5,Balto,comedy,,0.041
3513,13,3,Balto,comedy,,0.01175
3532,13,3,Balto,comedy,,0.01325
3546,13,5,Balto,comedy,,0.21275
3660,13,3,Balto,comedy,,0.0195
3743,13,3,Balto,comedy,,0.02525
3791,13,2,Balto,comedy,,0.04325
3805,13,3,Balto,comedy,,0.011
3927,13,4,Balto,comedy,dogsled,0.1825
4039,13,3,Balto,comedy,Ei muista,0.08925
4072,13,5,Balto,comedy,wolves,0.19725
4166,13,3,Balto,comedy,biopic,0.02975
4217,13,0.5,Balto,comedy,character based on real person:Richard Nixon,0.02025
4350,13,3,Balto,comedy,US President,0.16325
4389,13,3.5,Balto,comedy,Oliver Stone,0.16
4400,13,3,Balto,comedy,political drama,0.0065
4432,13,3,Balto,comedy,based on a true story,0.00925
4666,13,4,Balto,comedy,biographical,0.017
4785,13,3,Balto,comedy,Oliver Stone,0.0815
4865,13,4,Balto,comedy,politics,0.1405
4967,13,3,Balto,comedy,Oliver Stone,0.0695
5030,13,4,Balto,comedy,president,0.121
5091,13,3,Balto,comedy,Anthony Hopkins,0.0545
5189,13,3,Balto,comedy,Drama,0.00725
5192,13,4,Balto,comedy,,0.0145
5231,13,4,Balto,comedy,,0.02175
5314,13,4.5,Balto,comedy,,0.032
5375,13,3,Balto,comedy,,0.15675
5379,13,4,Balto,comedy,,0.93475
5481,13,3,Balto,comedy,,0.18225
5504,13,3,Balto,comedy,,0.672
5546,13,4.5,Balto,comedy,,0.06525
5574,13,4.5,Balto,comedy,,0.0705
5695,13,5,Balto,comedy,,0.08925
5814,13,3,Balto,comedy,,0.0135
6266,13,4,Balto,comedy,,0.03
6387,13,2,Balto,comedy,,0.0995
6476,13,4,Balto,comedy,,0.0745
6606,13,2.5,Balto,comedy,,0.12875
6719,13,4,Balto,comedy,,0.02525
6739,13,1,Balto,comedy,,0.06375
6983,13,3,Balto,comedy,,0.01375
15,14,2,Nixon,Drama,,0.02
19,14,4,Nixon,Drama,based on a true story,0.088
32,14,3,Nixon,Drama,cinematographer:Robert Richardson,0.1785
48,14,3,Nixon,Drama,biographical,0.07725
100,14,3,Nixon,Drama,own,0.20425
104,14,1,Nixon,Drama,corruption,0.071
108,14,5,Nixon,Drama,biographical,0.588
114,14,4,Nixon,Drama,own,0.3165
126,14,4,Nixon,Drama,corruption,0.0695
134,14,2,Nixon,Drama,biographical,0.0725
158,14,5,Nixon,Drama,own,0.00875
184,14,5,Nixon,Drama,corruption,0.00525
192,14,3,Nixon,Drama,biographical,0.05825
199,14,3,Nixon,Drama,own,0.06
208,14,4,Nixon,Drama,corruption,0.0545
263,14,5,Nixon,Drama,biographical,0.04875
269,14,5,Nixon,Drama,own,0.04175
295,14,3,Nixon,Drama,corruption,0.18225
325,14,3,Nixon,Drama,biographical,0.04875
330,14,3,Nixon,Drama,own,0.058
336,14,3,Nixon,Drama,corruption,0.02975
371,14,3.5,Nixon,Drama,,0.05125
389,14,3,Nixon,Drama,,0.09575
471,14,3,Nixon,Drama,,0.0605
609,14,4.5,Nixon,Drama,,0.09
624,14,3,Nixon,Drama,,0.20375
627,14,3,Nixon,Drama,,0.63175
632,14,1,Nixon,Drama,,0.126
684,14,3,Nixon,Drama,,0.0135
688,14,3,Nixon,Drama,,0.05625
717,14,2,Nixon,Drama,,0.126
741,14,4.5,Nixon,Drama,,0.06675
750,14,4,Nixon,Drama,,0.081
775,14,4,Nixon,Drama,,0.30025
781,14,5,Nixon,Drama,,0.44075
802,14,3,Nixon,Drama,,0.14525
812,14,4,Nixon,Drama,,0.24275
818,14,4,Nixon,Drama,,0.00175
825,14,4,Nixon,Drama,,0.139
850,14,3,Nixon,Drama,,0.22625
886,14,4,Nixon,Drama,,0.03525
903,14,3,Nixon,Drama,,0.022
936,14,3,Nixon,Drama,,0.15775
959,14,3,Nixon,Drama,,0.14825
982,14,3,Nixon,Drama,,0.0045
1045,14,3,Nixon,Drama,,0.1535
1115,14,3,Nixon,Drama,,0.093
1144,14,3,Nixon,Drama,,0.359
1154,14,5,Nixon,Drama,,0.18875
1167,14,4,Nixon,Drama,,0.2345
1219,14,3,Nixon,Drama,,0.03075
1243,14,4,Nixon,Drama,,0.029
1247,14,3,Nixon,Drama,,0.1275
1267,14,4,Nixon,Drama,,0.03175
1296,14,4,Nixon,Drama,,0.03675
1308,14,4,Nixon,Drama,,0.1205
1309,14,3,Nixon,Drama,,0.03425
1312,14,3,Nixon,Drama,,0.03475
1350,14,4,Nixon,Drama,,0.0635
2866,15,1,casino,crime,,0.10275
2868,15,2,casino,crime,,0.17275
2943,15,3,casino,crime,,0.4495
2972,15,3,casino,crime,,0.0335
